epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,6514.64,1.2354,1.08572,1.40645,0.87583,0.79371,0.88547,0.62808,1.15076,0.94721,1.20275,0.000412749,0.000412749,0.000412749
78,6596.7,1.20087,1.07705,1.3916,0.85368,0.8354,0.88697,0.6316,1.13159,0.90227,1.22483,0.000396246,0.000396246,0.000396246
79,6679.33,1.21921,1.09763,1.38623,0.86122,0.83461,0.89738,0.63211,1.14715,0.89412,1.21117,0.000379743,0.000379743,0.000379743
80,6762.03,1.24844,1.1129,1.39862,0.86136,0.82256,0.89699,0.64548,1.09773,0.89568,1.19421,0.000363239,0.000363239,0.000363239
81,6844.16,1.21956,1.06018,1.38753,0.84453,0.83587,0.89752,0.65035,1.09706,0.89927,1.19357,0.000346736,0.000346736,0.000346736
82,6926.67,1.18183,1.07534,1.4007,0.83947,0.8358,0.88353,0.63023,1.13132,0.93587,1.21591,0.000330233,0.000330233,0.000330233
83,7010.52,1.18645,1.04365,1.35616,0.86002,0.81654,0.88812,0.63747,1.09527,0.90854,1.18667,0.000313729,0.000313729,0.000313729
84,7093.01,1.16808,1.01869,1.34367,0.86059,0.85024,0.90386,0.66048,1.06373,0.87202,1.17254,0.000297226,0.000297226,0.000297226
85,7175.3,1.15066,1.01845,1.35433,0.90512,0.81544,0.90537,0.66095,1.06117,0.88455,1.16928,0.000280723,0.000280723,0.000280723
86,7257.38,1.14749,1.03328,1.35728,0.87773,0.84537,0.90095,0.65326,1.07528,0.88109,1.18443,0.00026422,0.00026422,0.00026422
87,7340.88,1.17714,1.05549,1.36817,0.85772,0.83774,0.89563,0.63811,1.13172,0.90787,1.20832,0.000247716,0.000247716,0.000247716
88,7423.3,1.13453,1.0041,1.3343,0.84857,0.84134,0.90003,0.65711,1.08968,0.88073,1.17196,0.000231213,0.000231213,0.000231213
89,7506.3,1.17159,1.04304,1.35457,0.88749,0.82553,0.90691,0.6696,1.05866,0.86262,1.15967,0.00021471,0.00021471,0.00021471
90,7589.24,1.14469,1.04013,1.35039,0.86332,0.84137,0.90356,0.66524,1.03667,0.85462,1.15615,0.000198206,0.000198206,0.000198206
91,7671.51,1.13286,1.22042,1.25053,0.88691,0.83619,0.90353,0.65754,1.07021,0.89097,1.17242,0.000181703,0.000181703,0.000181703
92,7753.27,1.15325,1.08613,1.27203,0.86331,0.77049,0.87283,0.62216,1.10502,0.99566,1.1716,0.0001652,0.0001652,0.0001652
93,7835.19,1.13795,1.07477,1.24647,0.86516,0.80755,0.88565,0.63832,1.08661,0.96113,1.15847,0.000148696,0.000148696,0.000148696
94,7916.48,1.08722,1.00549,1.23339,0.85689,0.84332,0.89411,0.65321,1.07218,0.92259,1.14861,0.000132193,0.000132193,0.000132193
95,7998.32,1.10118,0.97135,1.2424,0.85151,0.85061,0.89129,0.65656,1.07681,0.9224,1.1503,0.00011569,0.00011569,0.00011569
96,8080.52,1.0875,0.97738,1.23,0.86927,0.85291,0.89903,0.66091,1.07402,0.90282,1.14335,9.91865e-05,9.91865e-05,9.91865e-05
97,8162.63,1.10091,0.97028,1.21859,0.88501,0.83817,0.90812,0.66842,1.06273,0.88781,1.13672,8.26832e-05,8.26832e-05,8.26832e-05
98,8244.73,1.06801,0.97373,1.20333,0.91651,0.82636,0.91189,0.673,1.05286,0.87109,1.13264,6.61799e-05,6.61799e-05,6.61799e-05
99,8326.66,1.07942,0.95057,1.21624,0.90648,0.83455,0.91417,0.67804,1.03974,0.85955,1.12701,4.96766e-05,4.96766e-05,4.96766e-05
100,8409.01,1.07061,0.95671,1.22778,0.90082,0.84567,0.91589,0.68204,1.0262,0.85052,1.11927,3.31733e-05,3.31733e-05,3.31733e-05
